priority,gap,author_ja,title,year_target,period_target,ndc_expect,genre_main,genre_sub,style_expect,author_sex,rationale,aozora_status,aozora_work_id,resolution_note,in_corpus
2,女性作家,樋口一葉,にごりえ,1895,2_明治中期(1887-1899),913,Fiction,Modern,文語,F,同上,公開中,,—,収録済
2,女性作家,樋口一葉,十三夜,1895,2_明治中期(1887-1899),913,Fiction,Modern,文語,F,同上,公開中,,—,収録済
2,女性作家,水野仙子,四十余日,1913,4_大正(1912-1925),913,Fiction,Modern,口語,F,明治末〜大正の女性作家。保護期間の壁を越えられる数少ない例（1919年没）,公開中,601,—,収録済
2,女性作家,水野仙子,脱殻,1914,4_大正(1912-1925),913,Fiction,Modern,口語,F,同上,公開中,4263,—,収録済
2,女性作家,田村俊子,木乃伊の口紅,1913,4_大正(1912-1925),913,Fiction,Modern,過渡,F,田村俊子の唯一の公開作。旧字旧仮名なので正書法の統制に注意,公開中,5006,旧字旧仮名,収録済
2,女性作家,田村俊子,あきらめ,1911,3_明治後期(1900-1911),913,Fiction,Modern,口語,F,明治末の女性作家,作業中,,未公開。公開作は『木乃伊の口紅』5006（旧字旧仮名）のみ,未収録
2,女性作家,若松賤子,小公子,1890,2_明治中期(1887-1899),933,Fiction,Translation,過渡,F,女性訳者による言文一致翻訳。ジャンル・性別・文体の三重の空白を同時に埋める,作業中,,バーネット名義で作業中（作業ID 43033）。未公開,未収録
2,女性作家,与謝野晶子,人及び女として,1916,4_大正(1912-1925),914,Nonfiction,Criticism,口語,F,大正期女性評論の標本,未公開,,公開122作品中になし。『「女らしさ」とは何か』3325・『私の貞操観』3319 で代替,未収録
2,女性作家,佐多稲子,キャラメル工場から,1928,5_昭和戦前(1926-1944),913,Fiction,Proletarian,口語,F,同上,保護期間中,,1998年没。2068年まで保護,未収録
2,女性作家,尾崎翠,第七官界彷徨,1931,5_昭和戦前(1926-1944),913,Fiction,Experimental,口語,F,昭和戦前の実験的女性作家,保護期間中,,1971年没。2018年改正により2041年まで保護,未収録
2,女性作家,平林たい子,施療室にて,1927,5_昭和戦前(1926-1944),913,Fiction,Proletarian,口語,F,女性プロレタリア作家。多喜二4点に対する対照項,保護期間中,,1972年没。2018年改正により2042年まで保護,未収録
2,女性作家,野上弥生子,海神丸,1922,4_大正(1912-1925),913,Fiction,Modern,口語,F,大正期女性小説。現行コーパスの大正期は10点と手薄,保護期間中,,1985年没。2055年まで保護。青空文庫に登録なし,未収録
3,ジャンル,上田敏,海潮音,1905,3_明治後期(1900-1911),951,Nonfiction,Translation-Verse,文語,M,訳詩集。韻文の標本（任意）,公開中,,—,収録済
3,ジャンル,北村透谷,内部生命論,1893,2_明治中期(1887-1899),914,Nonfiction,Criticism,文語,M,明治期批評文,公開中,,—,収録済
3,ジャンル,寺田寅彦,柿の種,1933,5_昭和戦前(1926-1944),914,Nonfiction,Science-Essay,口語,M,科学随筆。専門語彙の対照群としてトピックモデルに有効,公開中,,—,収録済
3,ジャンル,岡本綺堂,修禅寺物語,1911,3_明治後期(1900-1911),912,Fiction,Drama,過渡,M,戯曲かつ綺堂の文体内変異（小説 vs 戯曲）の統制,公開中,,—,収録済
3,ジャンル,柳田国男,遠野物語,1910,3_明治後期(1900-1911),388,Nonfiction,Ethnography,文語,M,民俗誌。学術散文という未収録のジャンル,公開中,,—,収録済
3,ジャンル,森鴎外,即興詩人,1892,2_明治中期(1887-1899),973,Fiction,Translation,文語,M,雅文体翻訳。鴎外の文体幅を測る内部対照,公開中,,—,収録済
3,ジャンル,永井荷風,日和下駄,1915,4_大正(1912-1925),914,Nonfiction,Sketch-Essay,口語,M,大正期随筆の代表。随筆は現行2点のみ,公開中,,副題「一名 東京散策記」つき,収録済
3,ジャンル,石川啄木,時代閉塞の現状,1910,3_明治後期(1900-1911),914,Nonfiction,Criticism,口語,M,評論かつ1点のみの作家の補強,公開中,,—,収録済
3,ジャンル,菊池寛,父帰る,1917,4_大正(1912-1925),912,Fiction,Drama,口語,M,戯曲。現行コーパスにゼロ。会話文比率の極値として重要,公開中,,—,収録済
3,ジャンル,岸田国士,紙風船,1925,4_大正(1912-1925),912,Fiction,Drama,口語,M,大正期の口語戯曲,要改称,52082,正式な作品名は『紙風船（一幕）』。NDC 912、新字旧仮名、初出1925年,収録済
4,作家平準化,中島敦,山月記,1942,5_昭和戦前(1926-1944),913,Fiction,Historical,口語,M,1点のみの作家。漢文脈の濃い短篇,公開中,,—,収録済
4,作家平準化,中島敦,李陵,1943,5_昭和戦前(1926-1944),913,Fiction,Historical,口語,M,同上,公開中,,—,収録済
4,作家平準化,太宰治,津軽,1944,5_昭和戦前(1926-1944),915,Nonfiction,Travel,口語,M,太宰の非小説。紀行ジャンルの補強,公開中,,—,収録済
4,作家平準化,室生犀星,性に眼覚める頃,1919,4_大正(1912-1925),913,Fiction,Modern,口語,M,1点のみの作家。『蜜のあわれ』(1959)との40年の文体差が測れる,公開中,53012,—,収録済
4,作家平準化,室生犀星,幼年時代,1919,4_大正(1912-1925),913,Fiction,Modern,口語,M,『あにいもうと』が未公開のための代替。『性に眼覚める頃』と同系列,公開中,,—,収録済
4,作家平準化,徳冨蘆花,みみずのたはこと,1913,4_大正(1912-1925),914,Nonfiction,Sketch-Essay,口語,M,同上。『不如帰』(1898)との文体差が測れる,公開中,1704,—,収録済
4,作家平準化,石川啄木,雲は天才である,1906,3_明治後期(1900-1911),913,Fiction,Modern,過渡,M,同上,公開中,,—,収録済
4,作家平準化,芥川竜之介,羅生門,1915,4_大正(1912-1925),913,Fiction,Historical,口語,M,芥川2点のうち1点は評論。小説側を補強,公開中,,—,収録済
4,作家平準化,芥川竜之介,河童,1927,5_昭和戦前(1926-1944),913,Fiction,Satire,口語,M,同上,公開中,,—,収録済
4,作家平準化,室生犀星,あにいもうと,1934,5_昭和戦前(1926-1944),913,Fiction,Modern,口語,M,同上,作業中,,未公開。『幼年時代』で代替,未収録
5,欠落補完,島崎藤村,家（上）,1910,3_明治後期(1900-1911),913,Fiction,Modern,口語,M,【必須】現行は下巻のみ。上巻(card1509)を追加して作品を完結させる,公開中,1509,core として取得済み,収録済
5,欠落補完,江戸川乱歩,灰色の巨人,1955,6_昭和戦後(1945-),K913,Fiction,Juvenile-Mystery,口語,M,【必須】現行ファイルが『魔法博士』の重複。本作を新規に取得する,公開中,56676,core として取得済み,収録済
1,明治前期,三遊亭円朝,怪談牡丹灯籠,1884,1_明治前期(〜1886),779 913,Fiction,Ghost-Story,C_口語体,M,明治前期の Fiction が皆無。口演速記は言文一致の直接の源流で，二葉亭『浮雲』の前史として要る,公開中,002577,person_id 000989,取得予定
1,明治前期,三遊亭円朝,真景累ヶ淵,1888,2_明治中期(1887-1899),779 913,Fiction,Ghost-Story,C_口語体,M,同上。速記口演体の最長篇。『浮雲』(1887)とほぼ同時期で直接比較できる,公開中,000350,person_id 000989,取得予定
1,長篇補強,泉鏡花,婦系図,1907,3_明治後期(1900-1911),913,Fiction,Aesthetic,B_過渡的文体,M,反自然主義・雅俗折衷体。明治後期が自然主義に偏るのを是正する。鏡花は未収録,公開中,001087,person_id 000050,取得予定
1,長篇補強,田山花袋,田舎教師,1909,3_明治後期(1900-1911),913,Fiction,Naturalist,C_口語体,M,自然主義の代表作。花袋は未収録,公開中,001668,person_id 000214,取得予定
1,長篇補強,長塚節,土,1910,3_明治後期(1900-1911),913,Fiction,Naturalist,C_口語体,M,農民の方言を写した写実。語彙の層が他と大きく違う。長塚節は未収録,公開中,001745,person_id 000118,取得予定
1,長篇補強,徳田秋声,あらくれ,1915,4_大正(1912-1925),913,Fiction,Naturalist,C_口語体,M,大正の長篇が薄い。秋声は未収録。女性主人公の長篇,公開中,000199,person_id 000023,取得予定
1,長篇補強,有島武郎,或る女,1919,4_大正(1912-1925),913,Fiction,Modern,C_口語体,M,白樺派。大正の長篇を補う。有島は未収録。女性主人公の長篇,公開中,000201,person_id 000025,取得予定
1,作家平準化,夏目漱石,吾輩は猫である,1905,3_明治後期(1900-1911),913,Fiction,Modern,口語,M,漱石4点に対し鴎外7点・語数は4割。写生文と戯作的語彙は現行4点に無い層,公開中,,2026-09-26 の設計見直しで決定（4→9点）,取得予定
1,作家平準化,夏目漱石,それから,1909,3_明治後期(1900-1911),913,Fiction,Modern,口語,M,前期三部作。『三四郎』のみ収録という半端を解消,公開中,,同上,取得予定
1,作家平準化,夏目漱石,門,1910,3_明治後期(1900-1911),913,Fiction,Modern,口語,M,前期三部作の完結,公開中,,同上,取得予定
1,作家平準化,夏目漱石,行人,1913,4_大正(1912-1925),913,Fiction,Modern,口語,M,後期三部作。大正期は鴎外が32%（史伝2点で30%）。漱石の長篇でこれを薄める,公開中,,同上。増補と大正期の偏り是正が同じ一手で片づく,取得予定
1,作家平準化,夏目漱石,道草,1915,4_大正(1912-1925),913,Fiction,Modern,口語,M,晩年の自伝的長篇,公開中,,同上,取得予定
2,女性作家,三宅花圃,藪の鶯,1888,2_明治中期(1887-1899),913,Fiction,Modern,過渡,F,明治前期〜中期の女性作家が樋口一葉1人しかいない。5区分の帯で目標2人に届かせる,要確認,,所蔵を索引で確認すること。無ければ他の明治期女性作家を探す,取得予定
5,欠落補完,織田作之助,世相,1946,6_昭和戦後(1945-),913,Fiction,Modern,口語,M,昭和戦後は語数の50%が宮本百合子1人。戦後の男性作家を足して薄める,公開中,,2026-09-26 の設計見直しで決定,取得予定
5,欠落補完,織田作之助,土曜夫人,1946,6_昭和戦後(1945-),913,Fiction,Modern,口語,M,同上。連載中に作者が没したため未完,公開中,,completeness=incomplete で入れる,取得予定
5,欠落補完,横光利一,微笑,1948,6_昭和戦後(1945-),913,Fiction,Modern,口語,M,同上。新感覚派の戦後作品,要確認,,初出年を確認すること（作者は1947年没）,取得予定
